overall_rank,position,position_rank,name,team,auction_value,bye_week,source_last_update_date
1,WR,1,Ja'Marr Chase,CIN,,6,8/19/2026
2,RB,1,Jahmyr Gibbs,DET,,6,8/19/2026
3,WR,2,Puka Nacua,LAR,,11,8/19/2026
4,RB,2,Bijan Robinson,ATL,,11,8/19/2026
5,WR,3,Jaxon Smith-Njigba,SEA,,11,8/19/2026
6,WR,4,Amon-Ra St. Brown,DET,,6,8/19/2026
7,WR,5,CeeDee Lamb,DAL,,14,8/19/2026
8,WR,6,Justin Jefferson,MIN,,6,8/19/2026
9,RB,3,Christian McCaffrey,SF,,8,8/19/2026
10,WR,7,Drake London,ATL,,11,8/19/2026
11,RB,4,Jonathan Taylor,IND,,13,8/19/2026
12,WR,8,A.J. Brown,NE,,11,8/19/2026
13,RB,5,Ashton Jeanty,LV,,13,8/19/2026
14,WR,9,Nico Collins,HOU,,8,8/19/2026
15,RB,6,James Cook III,BUF,,7,8/19/2026
16,RB,7,Chase Brown,CIN,,6,8/19/2026
17,TE,1,Brock Bowers,LV,,13,8/19/2026
18,WR,10,Chris Olave,NO,,8,8/19/2026
19,WR,11,George Pickens,DAL,,14,8/19/2026
20,TE,2,Trey McBride,ARI,,14,8/19/2026
21,RB,8,De'Von Achane,MIA,,6,8/19/2026
22,WR,12,Rashee Rice,KC,,5,8/19/2026
23,WR,13,DeVonta Smith,PHI,,10,8/19/2026
24,WR,14,Malik Nabers,NYG,,8,8/19/2026
25,RB,9,Saquon Barkley,PHI,,10,8/19/2026
26,RB,10,Omarion Hampton,LAC,,7,8/19/2026
27,QB,1,Josh Allen,BUF,,7,8/19/2026
28,RB,11,Kenneth Walker III,KC,,5,8/19/2026
29,WR,15,Zay Flowers,BAL,,13,8/19/2026
30,WR,16,Garrett Wilson,NYJ,,13,8/19/2026
31,QB,2,Lamar Jackson,BAL,,13,8/19/2026
32,WR,17,Tetairoa McMillan,CAR,,5,8/19/2026
33,WR,18,Ladd McConkey,LAC,,7,8/19/2026
34,WR,19,Jaylen Waddle,DEN,,10,8/19/2026
35,WR,20,Tee Higgins,CIN,,6,8/19/2026
36,QB,3,Drake Maye,NE,,11,8/19/2026
37,TE,3,Colston Loveland,CHI,,10,8/19/2026
38,RB,12,Derrick Henry,BAL,,13,8/19/2026
39,WR,21,Emeka Egbuka,TB,,10,8/19/2026
40,RB,13,Jeremiyah Love,ARI,,14,8/19/2026
41,RB,14,Breece Hall,NYJ,,13,8/19/2026
42,RB,15,Kyren Williams,LAR,,11,8/19/2026
43,QB,4,Joe Burrow,CIN,,6,8/19/2026
44,RB,16,Josh Jacobs,GB,,11,8/19/2026
45,RB,17,Javonte Williams,DAL,,14,8/19/2026
46,WR,22,Terry McLaurin,WAS,,7,8/19/2026
47,WR,23,Luther Burden III,CHI,,10,8/19/2026
48,RB,18,Travis Etienne Jr.,NO,,8,8/19/2026
49,WR,24,Davante Adams,LAR,,11,8/19/2026
50,WR,25,DJ Moore,BUF,,7,8/19/2026
51,WR,26,Mike Evans,SF,,8,8/19/2026
52,TE,4,Tyler Warren,IND,,13,8/19/2026
53,WR,27,Jameson Williams,DET,,6,8/19/2026
54,RB,19,Cam Skattebo,NYG,,8,8/19/2026
55,QB,5,Jayden Daniels,WAS,,7,8/19/2026
56,WR,28,Rome Odunze,CHI,,10,8/19/2026
57,RB,20,D'Andre Swift,CHI,,10,8/19/2026
58,WR,29,Christian Watson,GB,,11,8/19/2026
59,QB,6,Jalen Hurts,PHI,,10,8/19/2026
60,RB,21,Bucky Irving,TB,,10,8/19/2026
61,RB,22,David Montgomery,HOU,,8,8/19/2026
